"age","year","number"
"9","2017",148989.630868148
"10","2017",23020.9864535258
"11","2017",35978.2276707962
"12","2017",26960.7087122261
"13","2017",7232.91503734066
"14","2017",7701.16033366155
"15","2017",928.413822086512
"16","2017",2051.19718779908
"17","2017",1358.66692308612
"18","2017",12411.0500298673
"19","2017",1369.54510964791
"20","2017",1874.77757444817
"1","2018",2727906.10973178
"2","2018",2605337.48673872
"3","2018",105115.507326838
"4","2018",1905922.71471687
"5","2018",85963.9531485217
"6","2018",147248.155014198
"7","2018",94857.2961387257
"8","2018",942207.583295483
"9","2018",104350.149497938
"10","2018",91220.5134501534
"11","2018",14094.8480252165
"12","2018",22028.0591476932
"13","2018",16506.9856028153
"14","2018",4428.43048608829
"15","2018",4715.11873480817
"16","2018",568.431407282964
"17","2018",1255.86767057723
"18","2018",831.858523371586
"19","2018",7598.79965862827
"20","2018",1986.37166436858
"1","2019",285277.799689761
"2","2019",2112981.43160411
"3","2019",1904598.71986261
"4","2019",72859.9324027734
"5","2019",1329707.30013758
"6","2019",57616.0276219009
"7","2019",90123.2806942453
"8","2019",58057.4386482687
"9","2019",576678.454771796
"10","2019",63867.5426037248
"11","2019",55831.5446325876
"12","2019",8626.7562727481
"13","2019",13482.280694964
"14","2019",10103.1058538896
"15","2019",2710.42230508224
"16","2019",2885.88994003245
"17","2019",347.908625877506
"18","2019",768.654212199444
"19","2019",509.139277110055
"20","2019",5866.60719491924
"1","2020",1804203.21073273
"2","2020",226109.981087266
"3","2020",1606586.51575876
"4","2020",1384230.88413282
"5","2020",47761.9773081844
"6","2020",836729.089817978
"7","2020",32594.9259211064
"8","2020",50985.1473495091
"9","2020",32844.6439301235
"10","2020",326242.406660465
"11","2020",36131.5749428758
"12","2020",31585.3962252057
"13","2020",4880.38646980201
"14","2020",7627.28634094294
"15","2020",5715.59686554045
"16","2020",1533.3583014232
"17","2020",1632.62502977675
"18","2020",196.821203332676
"19","2020",434.848220880534
"20","2020",3606.93009437109
"1","2021",1804203.21073273
"2","2021",1433500.07667156
"3","2021",182549.528068313
"4","2021",1297075.02889705
"5","2021",1117556.56880315
"6","2021",38560.5552452526
"7","2021",675531.879366043
"8","2021",26315.4608023392
"9","2021",41162.7763727696
"10","2021",26517.0702336302
"11","2021",263391.280143239
"12","2021",29170.7686784568
"13","2021",25500.4186327214
"14","2021",3940.1721346812
"15","2021",6157.87730946584
"16","2021",4614.47789883478
"17","2021",1237.95434831514
"18","2021",1318.09718113786
"19","2021",158.903280648857
"20","2021",3263.12319543809
"1","2022",1804203.21073273
"2","2022",1433500.07667156
"3","2022",1157333.97183068
"4","2022",147381.066672605
"5","2022",1047191.42983328
"6","2022",902257.490994716
"7","2022",31131.8020028326
"8","2022",545389.571837512
"9","2022",21245.7447798962
"10","2022",33232.7010276053
"11","2022",21408.5138286544
"12","2022",212648.524652701
"13","2022",23550.9729824223
"14","2022",20587.7218005299
"15","2022",3181.09160964624
"16","2022",4971.55230096506
"17","2022",3725.49127934712
"18","2022",999.460443844035
"19","2022",1064.1636304946
"20","2022",2762.76754897366
