"Predator_ID","month","year","latitude","longitude","predator_age","prey_name","prey_wt","prey_length","prey_age","source"
"12796",8,1995,45.79,-124.18,5,"other",41.59,158.2,NA,"CCTD"
"12801",8,1995,45.79,-124.18,6,"other",40.53,151,NA,"CCTD"
"12806",8,1995,45.79,-124.18,7,"other",100.23,162.4,NA,"CCTD"
"12808",8,1995,45.79,-124.18,7,"other",74.935,168,NA,"CCTD"
"12809",8,1995,45.64,-124.21,5,"other",33.47,153.4,NA,"CCTD"
"12812",8,1995,45.64,-124.21,6,"other",32.367,131.2,NA,"CCTD"
"12814",8,1995,45.64,-124.21,6,"other",103.21,215.4,NA,"CCTD"
"12815",8,1995,45.64,-124.21,12,"Pacific Hake",145.7,184.9,1,"CCTD"
"12816",8,1995,45.64,-124.21,15,"Pacific Hake",78.88,199.4,1,"CCTD"
"12817",8,1995,45.13,-124.5,5,"other",28.606,164.7,NA,"CCTD"
"12820",8,1995,45.13,-124.5,5,"other",4.631,57.2,NA,"CCTD"
"12820",8,1995,45.13,-124.5,5,"other",4.631,62,NA,"CCTD"
"12827",8,1995,45.13,-124.5,6,"other",25.876,163.4,NA,"CCTD"
"12859",8,1995,44.86,-124.37,6,"other",28.93,149.4,NA,"CCTD"
"12861",8,1995,44.86,-124.37,6,"Pacific Hake",15.82,177.6,1,"CCTD"
"12868",8,1995,44.86,-124.37,7,"Pacific Hake",64.91,191.4,1,"CCTD"
"12869",8,1995,44.86,-124.37,7,"other",68.01,151.8,NA,"CCTD"
"12869",8,1995,44.86,-124.37,7,"other",68.01,146.4,NA,"CCTD"
"12870",8,1995,44.86,-124.37,7,"other",1.835,110,NA,"CCTD"
"12871",8,1995,44.86,-124.37,7,"Pacific Hake",69.57,194.3,1,"CCTD"
"12872",8,1995,44.86,-124.37,8,"Pacific Hake",13.45,168.5,1,"CCTD"
"12873",8,1995,44.86,-124.37,8,"Pacific Hake",39.49,184.9,1,"CCTD"
"12874",8,1995,44.86,-124.37,8,"Pacific Hake",24.539,155.8,1,"CCTD"
